fecha,valor_corriente,dispositivo
2024-08-16_08-42-01,0.0635892376303672,cafetera
2024-08-16_08-42-06,7.753286838531494,cafetera
2024-08-16_08-42-08,7.720315933227539,cafetera
2024-08-16_08-42-10,7.723514080047607,cafetera
2024-08-16_08-42-12,7.69149923324585,cafetera
2024-08-16_08-42-17,7.668808460235598,cafetera
2024-08-16_08-42-19,7.669552326202393,cafetera
2024-08-16_08-42-21,7.66328763961792,cafetera
2024-08-16_08-42-23,7.661974906921388,cafetera
2024-08-16_08-42-28,7.66469669342041,cafetera
2024-08-16_08-42-30,7.6654462814331055,cafetera
2024-08-16_08-42-32,7.660460948944093,cafetera
2024-08-16_08-42-34,7.662645816802978,cafetera
2024-08-16_08-42-39,7.659947872161865,cafetera
2024-08-16_08-42-41,7.6391849517822275,cafetera
2024-08-16_08-42-43,7.639661312103271,cafetera
2024-08-16_08-42-45,7.659203052520753,cafetera
2024-08-16_08-42-48,7.639402389526367,cafetera
2024-08-16_08-42-50,7.639437675476074,cafetera
2024-08-16_08-42-52,7.638264179229736,cafetera
2024-08-16_08-42-54,7.640530109405518,cafetera
2024-08-16_08-42-56,7.636428356170652,cafetera
2024-08-16_08-42-59,7.634448051452638,cafetera
2024-08-16_08-43-01,7.637554168701173,cafetera
2024-08-16_08-43-03,7.634511470794678,cafetera
2024-08-16_08-43-05,7.638835430145264,cafetera
2024-08-16_08-43-07,7.636042594909668,cafetera
2024-08-16_08-43-10,7.637436866760254,cafetera
2024-08-16_08-43-12,7.640163421630857,cafetera
2024-08-16_08-43-14,7.639782428741455,cafetera
2024-08-16_08-43-16,7.640560626983643,cafetera
2024-08-16_08-43-18,7.658170700073242,cafetera
2024-08-16_08-43-21,7.639261245727539,cafetera
2024-08-16_08-43-23,7.640505313873291,cafetera
2024-08-16_08-43-25,7.658139705657959,cafetera
2024-08-16_08-43-27,7.659432411193848,cafetera
2024-08-16_08-43-32,7.661415100097656,cafetera
2024-08-16_08-43-34,7.660439491271973,cafetera
2024-08-16_08-43-36,7.660965919494629,cafetera
2024-08-16_08-43-38,7.657046794891357,cafetera
2024-08-16_08-43-43,7.657166957855225,cafetera
2024-08-16_08-43-45,7.640392780303955,cafetera
2024-08-16_08-43-47,7.639217853546143,cafetera
2024-08-16_08-43-49,7.63688850402832,cafetera
2024-08-16_08-43-54,7.635228157043457,cafetera
2024-08-16_08-43-56,7.63115644454956,cafetera
2024-08-16_08-43-58,7.630833148956299,cafetera
2024-08-16_08-44-00,7.631333827972412,cafetera
2024-08-16_08-44-05,7.627509117126465,cafetera
2024-08-16_08-44-07,7.6288394927978525,cafetera
2024-08-16_08-44-09,7.6262593269348145,cafetera
2024-08-16_08-44-11,7.629044532775879,cafetera
2024-08-16_08-44-14,7.633668899536133,cafetera
2024-08-16_08-44-16,7.6325483322143555,cafetera
2024-08-16_08-44-18,7.628551006317139,cafetera
2024-08-16_08-44-20,7.627297878265381,cafetera
2024-08-16_08-44-25,7.62539529800415,cafetera
2024-08-16_08-44-27,7.625660896301269,cafetera
2024-08-16_08-44-29,7.6311540603637695,cafetera
2024-08-16_08-44-31,7.631042003631593,cafetera
2024-08-16_08-44-36,7.6347336769104,cafetera
2024-08-16_08-44-38,7.636913299560548,cafetera
2024-08-16_08-44-40,7.6341233253479,cafetera
2024-08-16_08-44-42,7.629263401031494,cafetera
2024-08-16_08-44-47,7.640435218811035,cafetera
2024-08-16_08-44-49,7.626767635345459,cafetera
2024-08-16_08-44-51,7.625203609466553,cafetera
2024-08-16_08-44-53,7.636038780212402,cafetera
2024-08-16_08-44-58,0.063201256096363,cafetera
2024-08-16_08-45-00,0.0635910704731941,cafetera
2024-08-16_08-45-02,0.0636182054877281,cafetera
2024-08-16_08-45-04,0.0626705810427665,cafetera
2024-08-16_08-45-09,0.0630708038806915,cafetera
2024-08-16_08-45-11,0.0631478130817413,cafetera
2024-08-16_08-45-13,0.0636518374085426,cafetera
2024-08-16_08-45-15,0.0631471648812294,cafetera
2024-08-16_08-45-20,6.136881351470947,cafetera
2024-08-16_08-45-22,7.727715015411378,cafetera
2024-08-16_08-45-24,7.700019836425781,cafetera
2024-08-16_08-45-26,7.671792984008789,cafetera
2024-08-16_08-45-29,7.6596736907958975,cafetera
2024-08-16_08-45-31,7.668943405151367,cafetera
2024-08-16_08-45-33,7.661977767944336,cafetera
2024-08-16_08-45-35,7.635638236999513,cafetera
2024-08-16_08-45-40,7.6280250549316415,cafetera
2024-08-16_08-45-42,7.639451503753662,cafetera
2024-08-16_08-45-44,7.638227462768555,cafetera
2024-08-16_08-45-46,7.6389522552490225,cafetera
2024-08-16_08-45-51,7.63362455368042,cafetera
2024-08-16_08-45-53,7.632263660430907,cafetera
2024-08-16_08-45-55,7.631701469421388,cafetera
2024-08-16_08-45-57,7.134875297546388,cafetera
2024-08-16_08-46-02,0.0635515749454498,cafetera
2024-08-16_08-46-04,0.0622654519975185,cafetera
2024-08-16_08-46-06,0.0631303861737251,cafetera
2024-08-16_08-46-08,0.062625952064991,cafetera
2024-08-16_08-46-13,0.0625228807330131,cafetera
2024-08-16_08-46-15,0.0620975494384765,cafetera
2024-08-16_08-46-17,0.0640089362859726,cafetera
2024-08-16_08-46-19,0.0625819936394691,cafetera
2024-08-16_08-46-24,0.0626081600785255,cafetera
2024-08-16_08-46-26,0.0626830086112022,cafetera
2024-08-16_08-46-28,0.0630156397819519,cafetera
